shape,dataset,tuples,sweep_id,binary_md5,description
vep_retained_only_rust_omits,s05,0,sweep-20260920T012411Z,23a294cf,VEP emits start_retained_variant without start_lost; vep-rs omits the term
vep_retained_only_rust_omits,s06,0,sweep-20260920T012411Z,23a294cf,VEP emits start_retained_variant without start_lost; vep-rs omits the term
vep_retained_only_rust_omits,pooled,0,sweep-20260920T012411Z,23a294cf,VEP emits start_retained_variant without start_lost; vep-rs omits the term
other,s01,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
other,s02,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
other,s03,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
other,s04,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
other,s05,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
other,s06,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
other,pooled,0,sweep-20260920T012411Z,23a294cf,every other VEP-only tuple carrying start_retained_variant
